[Strings]
nth paddr      vaddr      len size section type  string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x00003008 0x00003008 28  29   .rodata ascii Feed me the right password: 
1   0x00003025 0x00003025 8   9    .rodata ascii %[^\n]%*c
2   0x0000302e 0x0000302e 5   6    .rodata ascii ERROR
3   0x00003038 0x00003038 64  65   .rodata ascii 9df1342d5620cc8afaf8e7ee77a046aa2db9bd2b29b5c6c5676b373366de7107
4   0x00003080 0x00003080 64  65   .rodata ascii 5044e3c0d9d92c0b88383d750c01f4906011f1f6050ec32204f7a35479ca0a90
5   0x000030c8 0x000030c8 64  65   .rodata ascii f293759bf385de6672943db2c84fbe4a071d183e4c330683b0b858bace99d214
6   0x00003110 0x00003110 64  65   .rodata ascii 96c6a782bb86d70cbdaadd0c5a91b52afe10d496f37092eb2d055467752cd41b
7   0x00003158 0x00003158 64  65   .rodata ascii cafcd925262762f833b3eb7254c5732e1c8dd43eae8340ce8d58b0bd70d8a33f
8   0x000031a0 0x000031a0 64  65   .rodata ascii 181bdc9b45ccd6daad67ef8b91d8c83ec815ef36eebc57789004e1c2d4f74ef6
9   0x000031e8 0x000031e8 64  65   .rodata ascii 758ba8cf855dc2f28b97a899d4c1772e0efc1f924bd5d6b630b9f30df53ee565
10  0x00003230 0x00003230 64  65   .rodata ascii d93e7886912259a566c3fab2e3ef41ad05f7c6344480807d378085776120ecd8
11  0x00003278 0x00003278 64  65   .rodata ascii 03447c3f1ade9a7f5eaa5d46593155c3447e01e1af6770112dc3ec745352b053
12  0x000032c0 0x000032c0 64  65   .rodata ascii 2ceb080d91e5dc1f639803c59f574aefdd38f9e76e63d6c368100ba85387ccfa
13  0x00003308 0x00003308 64  65   .rodata ascii bd23cf3f56baa86bc11b3256f22ac1a573113d639833a119f02357e3fb705266
14  0x00003350 0x00003350 64  65   .rodata ascii 8792bc16747a03eabd1dc17e45dc7355a551a64f014bb14fd3897324172789e3
15  0x00003398 0x00003398 64  65   .rodata ascii 66f1eeefc2a29e583f09d5ddb3768cafb24230dfc8fd00cd08cbafbf5c0dbd25
16  0x000033e0 0x000033e0 64  65   .rodata ascii e1ff99987fb2caaf178af51156f1b2b0d1c833d8fef9f807584426f4b3fd821d
17  0x00003428 0x00003428 64  65   .rodata ascii cc1c040bc2892caf244409f71cb22c6b010472fee97d3f443477a1f463645a57
18  0x00003470 0x00003470 64  65   .rodata ascii 6db17ac4a0302fb450b3d39a6c81b868aca692f26e88ac6dc68b07b4f09259ac
19  0x000034b8 0x000034b8 64  65   .rodata ascii 33a3ec4cc8b474b2047f0ebbfe087d461daab1544750ddb9fc4c2f4a29d2064d
20  0x00003500 0x00003500 64  65   .rodata ascii f68f706216891a566a4d91e06e66c061319b0cc456fb9bfe72eabd413b5b1ab1
21  0x00003548 0x00003548 64  65   .rodata ascii 3200c0d8bbd27bd01fb0de0bd0bad5ea379d220ed3633a62f4faeb8d0041c5fe
22  0x00003590 0x00003590 64  65   .rodata ascii f0b8deaba82fc01e31a57ebc245fb246bd35e6f68e8b319498e04476696e2482
23  0x000035d8 0x000035d8 64  65   .rodata ascii 9fbcaa84559011dcad0b7b47e61e149e15ef241d178f37d2bc9afad498f3afb8
24  0x00003620 0x00003620 64  65   .rodata ascii f30274332383674dc6983b73f63f11e456b0c186df6052278b2de1a3d5d52479
