[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x00050288 0x08098288 22  23   .rodata ascii   Usage : %s <password>\n
1    0x0005029f 0x0809829f 9   10   .rodata ascii   Using %s\n
2    0x000502a9 0x080982a9 20  21   .rodata ascii   Correct, Cracked !!\n
3    0x000502be 0x080982be 7   8    .rodata ascii   Wrong!\n
4    0x000502c6 0x080982c6 26  27   .rodata ascii   /proc/sys/kernel/osrelease
5    0x000502e1 0x080982e1 22  23   .rodata ascii   FATAL: kernel too old\n
6    0x000502f8 0x080982f8 39  40   .rodata ascii   FATAL: cannot determine kernel version\n
7    0x00050320 0x08098320 9   10   .rodata ascii   /dev/null
8    0x0005032a 0x0809832a 12  13   .rodata ascii   /dev/urandom
9    0x0005033c 0x0809833c 36  37   .rodata ascii   : stack smashing attack in function 
10   0x000503c4 0x080983c4 4   5    .rodata ascii   UUUU
11   0x000503cb 0x080983cb 5   6    .rodata ascii   ?3333
12   0x00050404 0x08098404 4   5    .rodata ascii   ^Cy\r
13   0x00050413 0x08098413 5   6    .rodata ascii   \v,d!\v
14   0x00050423 0x08098423 6   7    .rodata ascii   \t^B{\tI
15   0x00050443 0x08098443 5   6    .rodata ascii   \a\auP\a
16   0x0005044b 0x0809844b 19  20   .rodata ascii   \aLIBC_FATAL_STDERR_
17   0x0005045f 0x0809845f 8   9    .rodata ascii   /dev/tty
18   0x00050468 0x08098468 28  29   .rodata ascii   corrupted double-linked list
19   0x00050485 0x08098485 28  29   .rodata ascii   malloc: top chunk is corrupt
20   0x000504a2 0x080984a2 23  24   .rodata ascii   free(): invalid pointer
21   0x000504ba 0x080984ba 27  28   .rodata ascii   malloc(): memory corruption
22   0x000504d6 0x080984d6 23  24   .rodata ascii   realloc(): invalid size
23   0x000504ee 0x080984ee 26  27   .rodata ascii   realloc(): invalid pointer
24   0x00050509 0x08098509 28  29   .rodata ascii   realloc(): invalid next size
25   0x00050526 0x08098526 29  30   .rodata ascii   malloc: using debugging hooks
26   0x00050544 0x08098544 8   9    .rodata ascii   TOP_PAD_
27   0x0005054d 0x0809854d 15  16   .rodata ascii   TRIM_THRESHOLD_
28   0x0005055d 0x0809855d 15  16   .rodata ascii   MMAP_THRESHOLD_
29   0x0005056d 0x0809856d 9   10   .rodata ascii   MMAP_MAX_
30   0x00050577 0x08098577 10  11   .rodata ascii   Arena %d:\n
31   0x00050582 0x08098582 24  25   .rodata ascii   system bytes     = %10u\n
32   0x0005059b 0x0809859b 24  25   .rodata ascii   in use bytes     = %10u\n
33   0x000505b4 0x080985b4 20  21   .rodata ascii   Total (incl. mmap):\n
34   0x000505c9 0x080985c9 25  26   .rodata ascii   max mmap bytes   = %10lu\n
35   0x000505e3 0x080985e3 24  25   .rodata ascii   max mmap regions = %10u\n
36   0x000505fc 0x080985fc 36  37   .rodata ascii   *** glibc detected *** %s: 0x%s ***\n
37   0x00050624 0x08098624 31  32   .rodata ascii   double free or corruption (top)
38   0x00050644 0x08098644 33  34   .rodata ascii   double free or corruption (!prev)
39   0x00050668 0x08098668 35  36   .rodata ascii   double free or corruption (fasttop)
40   0x0005068c 0x0809868c 34  35   .rodata ascii   free(): invalid next size (normal)
41   0x000506b0 0x080986b0 32  33   .rodata ascii   free(): invalid next size (fast)
42   0x000506d4 0x080986d4 31  32   .rodata ascii   double free or corruption (out)
43   0x000506f4 0x080986f4 34  35   .rodata ascii   malloc(): memory corruption (fast)
44   0x00050733 0x08098733 5   6    .rodata ascii   \b<%d>
45   0x00050739 0x08098739 9   10   .rodata ascii   %h %e %T 
46   0x00050743 0x08098743 4   5    .rodata ascii   [%d]
47   0x00050748 0x08098748 12  13   .rodata ascii   /dev/console
48   0x00050755 0x08098755 4   5    .rodata ascii   %s\r\n
49   0x0005075c 0x0809875c 37  38   .rodata ascii   syslog: unknown facility/priority: %x
50   0x000507a0 0x080987a0 4   5    .rodata ascii   i386
51   0x000507a5 0x080987a5 4   5    .rodata ascii   i486
52   0x000507aa 0x080987aa 4   5    .rodata ascii   i586
53   0x000507af 0x080987af 4   5    .rodata ascii   i686
54   0x00050808 0x08098808 4   5    .rodata ascii   apic
55   0x00050820 0x08098820 4   5    .rodata ascii   mtrr
56   0x00050838 0x08098838 4   5    .rodata ascii   cmov
57   0x00050848 0x08098848 5   6    .rodata ascii   pse36
