[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x00090004 0x00490004 11  12   .rodata ascii   Cracked....
1    0x00090010 0x00490010 26  27   .rodata ascii   Wrong key, ...try again...
2    0x0009002b 0x0049002b 9   10   .rodata ascii   Good luck
3    0x00090035 0x00490035 26  27   .rodata ascii   Developed by Binary Newbie
4    0x00090050 0x00490050 19  20   .rodata ascii   Nop...try again...\n
5    0x00090064 0x00490064 18  19   .rodata ascii   Invalid length...\n
6    0x00090077 0x00490077 15  16   .rodata ascii   Usage %s <key>\n
7    0x00090088 0x00490088 34  35   .rodata ascii   Welcome to this little crackme!!!!
8    0x000900b0 0x004900b0 58  59   .rodata ascii   There is only one key, try to find it and decrypt the .zip
9    0x000900f0 0x004900f0 38  39   .rodata ascii   Humm lets see what you are doing .....
10   0x00090117 0x00490117 8   9    .rodata ascii   xeon_phi
11   0x00090120 0x00490120 7   8    .rodata ascii   haswell
12   0x00090128 0x00490128 19  20   .rodata ascii   ../csu/libc-start.c
13   0x0009013c 0x0049013c 22  23   .rodata ascii   FATAL: kernel too old\n
14   0x00090158 0x00490158 47  48   .rodata ascii   __ehdr_start.e_phentsize == sizeof *GL(dl_phdr)
15   0x00090188 0x00490188 40  41   .rodata ascii   Unexpected reloc type in static binary.\n
16   0x000901b8 0x004901b8 39  40   .rodata ascii   FATAL: cannot determine kernel version\n
17   0x00090300 0x00490300 17  18   .rodata ascii   __libc_start_main
18   0x00090312 0x00490312 9   10   .rodata ascii   /dev/full
19   0x0009031c 0x0049031c 9   10   .rodata ascii   /dev/null
20   0x00090328 0x00490328 52  53   .rodata ascii   cannot set %fs base address for thread-local storage
21   0x00090360 0x00490360 40  41   .rodata ascii   %s%s%s:%u: %s%sAssertion `%s' failed.\n%n
22   0x00090390 0x00490390 18  19   .rodata ascii   Unexpected error.\n
23   0x000903d0 0x004903d0 14  15   .rodata ascii   OUTPUT_CHARSET
24   0x000903df 0x004903df 8   9    .rodata ascii   charset=
25   0x000903ec 0x004903ec 5   6    .rodata ascii   %s/%s
26   0x000903f2 0x004903f2 8   9    .rodata ascii   LANGUAGE
27   0x000903fb 0x004903fb 5   6    .rodata ascii   POSIX
28   0x00090410 0x00490410 17  18   .rodata ascii   /usr/share/locale
29   0x00090428 0x00490428 8   9    .rodata ascii   messages
